site,subject,block_type,model,n_trials,cv_auc,cv_auc_std
Oberlin,4142026001,imagined_sentence,all_metrics,149,0.5028359788359789,0.07076524330986071
Oberlin,4142026002,full_sentence,true_label_baseline,149,0.5371428571428571,0.053992524887841384
Oberlin,4142026002,full_sentence,trial_order_only,149,0.4443809523809524,0.11768017176614139
Oberlin,4142026002,full_sentence,single_pearson_raw,149,0.5758095238095239,0.09387434174627697
Oberlin,4142026002,full_sentence,single_lagged_xcorr_max,149,0.47777777777777786,0.054686536587633845
Oberlin,4142026002,full_sentence,single_envelope_corr,149,0.4276190476190477,0.06592787923762582
Oberlin,4142026002,full_sentence,single_log_spectrum_corr,149,0.4861587301587302,0.0698209494248254
Oberlin,4142026002,full_sentence,single_mfcc_cosine,149,0.553015873015873,0.06274480903405942
Oberlin,4142026002,full_sentence,all_metrics,149,0.537079365079365,0.0762931583207221
Oberlin,4142026002,imagined_sentence,true_label_baseline,149,0.558710407239819,0.060792249640983745
Oberlin,4142026002,imagined_sentence,trial_order_only,149,0.4840457336780866,0.100608276467487
Oberlin,4142026002,imagined_sentence,single_pearson_raw,149,0.6049490950226245,0.07987971406373585
Oberlin,4142026002,imagined_sentence,single_lagged_xcorr_max,149,0.5290643180349063,0.09280577322237342
Oberlin,4142026002,imagined_sentence,single_envelope_corr,149,0.4186328377504848,0.057006409313734276
Oberlin,4142026002,imagined_sentence,single_log_spectrum_corr,149,0.36773190045248866,0.051767852663060505
Oberlin,4142026002,imagined_sentence,single_mfcc_cosine,149,0.5191257272139624,0.09779240503039621
Oberlin,4142026002,imagined_sentence,all_metrics,149,0.5562823206205559,0.06066419152910963
UChicago,3292026001,full_sentence,true_label_baseline,149,0.5574095022624435,0.09323799517576016
UChicago,3292026001,full_sentence,trial_order_only,149,0.5520361990950227,0.06693162746461756
UChicago,3292026001,full_sentence,single_pearson_raw,149,0.5921945701357465,0.07361290073905495
UChicago,3292026001,full_sentence,single_lagged_xcorr_max,149,0.5877828054298642,0.07682186580888399
UChicago,3292026001,full_sentence,single_envelope_corr,149,0.5102941176470589,0.059058441485168124
UChicago,3292026001,full_sentence,single_log_spectrum_corr,149,0.5295248868778281,0.055085271105907885
UChicago,3292026001,full_sentence,single_mfcc_cosine,149,0.5493778280542987,0.06383228665654267
UChicago,3292026001,full_sentence,all_metrics,149,0.605316742081448,0.06827970337336006
UChicago,3292026001,imagined_sentence,true_label_baseline,149,0.4600595238095238,0.09120679326849504
UChicago,3292026001,imagined_sentence,trial_order_only,149,0.5734325396825397,0.07353139267854697
UChicago,3292026001,imagined_sentence,single_pearson_raw,149,0.5710793650793651,0.07797948476421031
UChicago,3292026001,imagined_sentence,single_lagged_xcorr_max,149,0.5615277777777778,0.06987143107756139
UChicago,3292026001,imagined_sentence,single_envelope_corr,149,0.5867341269841271,0.09772817780565339
UChicago,3292026001,imagined_sentence,single_log_spectrum_corr,149,0.5550515873015873,0.06819562105565534
UChicago,3292026001,imagined_sentence,single_mfcc_cosine,149,0.5976944444444445,0.10805838590514064
UChicago,3292026001,imagined_sentence,all_metrics,149,0.5581230158730158,0.13654963348961305
UChicago,4032026001,full_sentence,true_label_baseline,149,0.5309523809523811,0.07295856425057769
UChicago,4032026001,full_sentence,trial_order_only,149,0.5488095238095237,0.08227107832524248
UChicago,4032026001,full_sentence,single_pearson_raw,149,0.5262499999999999,0.09888343477787061
UChicago,4032026001,full_sentence,single_lagged_xcorr_max,149,0.5198809523809522,0.07632693323435344
UChicago,4032026001,full_sentence,single_envelope_corr,149,0.6083333333333333,0.09399957332126832
UChicago,4032026001,full_sentence,single_log_spectrum_corr,149,0.5261309523809524,0.08168293430925222
UChicago,4032026001,full_sentence,single_mfcc_cosine,149,0.5582738095238096,0.08569390465362509
UChicago,4032026001,full_sentence,all_metrics,149,0.5782142857142858,0.09058448249776425
UChicago,4032026001,imagined_sentence,true_label_baseline,149,0.45551568314726215,0.034959399581213524
UChicago,4032026001,imagined_sentence,trial_order_only,149,0.5550283537125642,0.10280075849878915
UChicago,4032026001,imagined_sentence,single_pearson_raw,149,0.5430710614921141,0.09248894008141198
UChicago,4032026001,imagined_sentence,single_lagged_xcorr_max,149,0.4913343965975544,0.07813443086634385
UChicago,4032026001,imagined_sentence,single_envelope_corr,149,0.5664407230196704,0.1006762509460313
UChicago,4032026001,imagined_sentence,single_log_spectrum_corr,149,0.48635920609604827,0.08474494930076111
UChicago,4032026001,imagined_sentence,single_mfcc_cosine,149,0.5465709728867625,0.0927041147573903
UChicago,4032026001,imagined_sentence,all_metrics,149,0.5194976076555025,0.07032827637453987
UChicago,4042026001,full_sentence,true_label_baseline,149,0.4579761904761905,0.09055416439536286
UChicago,4042026001,full_sentence,trial_order_only,149,0.550718253968254,0.11881528943395872
UChicago,4042026001,full_sentence,single_pearson_raw,149,0.46284523809523803,0.08352960220451457
UChicago,4042026001,full_sentence,single_lagged_xcorr_max,149,0.503357142857143,0.07899446541937874
UChicago,4042026001,full_sentence,single_envelope_corr,149,0.4535396825396825,0.036578603535175065
